
MSI

"Computer Name:","MSI"
"PCI Address (Bus:Device:Function) Number:","1:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10EC&DEV_5250&SUBSYS_129C1462&REV_01"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","512 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","D54FF000"
"Memory Base Address 1","D54FE000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Realtek Semiconductor Corp."
"Driver Description:","Realtek PCIE CardReader"
"Driver Provider:","Realtek Semiconductor Corp."
"Driver Version:","10.0.18362.21317"
"Driver Date:","24-Apr-2019"
"DeviceInstanceId","PCI\VEN_10EC&DEV_5250&SUBSYS_129C1462&REV_01\00000001004CE00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Intel Comet Lake PCH-LP - PCI Express Root Port #5 [A0/D0]

"Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #5 [A0/D0]"
"Original Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #5 [A0/D0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [A0/D0]"
"PCI Address (Bus:Device:Function) Number:","0:28:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02BC&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #5 - 02BC"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02BC&SUBSYS_129C1462&REV_F0\3&11583659&2&E4"
"Location Paths","PCIROOT(0)#PCI(1C04)"

PCI Express x4 Bus #2


NVIDIA GeForce GTX 1650 (TU117M)

"Device Name:","NVIDIA GeForce GTX 1650 (TU117M)"
"Original Device Name:","NVIDIA GeForce GTX 1650 (TU117M)"
"Device Class:","3D Adapter"
"Revision ID:","A1"
"PCI Address (Bus:Device:Function) Number:","2:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10DE&DEV_1F91&SUBSYS_129C1462&REV_A1"
"Version:","3.0"
"Maximum Link Width:","16x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","D4000000"
"Memory Base Address 1","90000000"
"Memory Base Address 3","A0000000"
"I/O Base Address 5","0"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce GTX 1650 with Max-Q Design"
"Driver Provider:","NVIDIA"
"Driver Version:","26.21.14.3153 (GeForce 431.53)"
"Driver Date:","12-Jul-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1F91&SUBSYS_129C1462&REV_A1\4&2C9F902E&0&00E4"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)"

Intel Comet Lake PCH-LP - PCI Express Root Port #9 [A0/D0]

"Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #9 [A0/D0]"
"Original Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #9 [A0/D0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [A0/D0]"
"PCI Address (Bus:Device:Function) Number:","0:29:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02B0&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #9 - 02B0"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02B0&SUBSYS_129C1462&REV_F0\3&11583659&2&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

PCI Express x4 Bus #3


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","3:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Upstream Port of PCI Express Switch"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","1 - 2 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Upstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.387"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_129C1462&REV_06\U82322088A1B7D00000"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

PCI Express x4 Bus #4


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","4:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.387"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_129C1462&REV_06\82322088A1B7D00000"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)#PCI(0000)"

PCI Express x4 Bus #5


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","4:1:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.387"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_129C1462&REV_06\82322088A1B7D00008"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)#PCI(0100)"

PCI Express x4 Bus #6


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","4:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.387"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_129C1462&REV_06\82322088A1B7D00010"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)#PCI(0200)"

PCI Express x4 Bus #57


Intel Titan Ridge Thunderbolt xHCI Embedded Endpoint

"Device Name:","Intel Titan Ridge Thunderbolt xHCI Embedded Endpoint"
"Original Device Name:","Intel Titan Ridge Thunderbolt xHCI Embedded Endpoint"
"Device Class:","USB xHCI Controller"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","57:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EC&SUBSYS_129C1462&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","BBF00000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","19-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EC&SUBSYS_129C1462&REV_06\82322088A1B7D00000"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)#PCI(0200)#PCI(0000)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.1 SuperSpeedPlus"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.387"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)#PCI(0200)#PCI(0000)#USBROOT(0)#USB(3)"

[Port4] : No Device Connected


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","4:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.387"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_129C1462&REV_06\82322088A1B7D00020"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)#PCI(0400)"

PCI Express x4 Bus #58


Intel Comet Lake PCH-LP - PCI Express Root Port #13 [A0/D0]

"Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #13 [A0/D0]"
"Original Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #13 [A0/D0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [A0/D0]"
"PCI Address (Bus:Device:Function) Number:","0:29:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02B4&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","2x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #13 - 02B4"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02B4&SUBSYS_129C1462&REV_F0\3&11583659&2&EC"
"Location Paths","PCIROOT(0)#PCI(1D04)"

PCI Express x2 Bus #110


Kingston Technology, Device ID: 5008

"Device Name:","Kingston Technology, Device ID: 5008"
"Original Device Name:","Kingston Technology, Device ID: 5008"
"Device Class:","NVMe Controller"
"Revision ID:","1"
"PCI Address (Bus:Device:Function) Number:","110:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_2646&DEV_5008&SUBSYS_50082646&REV_01"
"Version:","3.0"
"Maximum Link Width:","2x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:",">64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","D5300000"
"I/O Base Address 2","0"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Standard NVM Express Controller"
"Driver Description:","Standard NVM Express Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_2646&DEV_5008&SUBSYS_50082646&REV_01\4&1DF958AA&0&00EC"
"Location Paths","PCIROOT(0)#PCI(1D04)#PCI(0000)"

Intel Comet Lake PCH-LP - PCI Express Root Port #15 [A0/D0]

"Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #15 [A0/D0]"
"Original Device Name:","Intel Comet Lake PCH-LP - PCI Express Root Port #15 [A0/D0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [A0/D0]"
"PCI Address (Bus:Device:Function) Number:","0:29:6"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02B6&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","2x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTC#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #15 - 02B6"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02B6&SUBSYS_129C1462&REV_F0\3&11583659&2&EE"
"Location Paths","PCIROOT(0)#PCI(1D06)"

PCI Express x2 Bus #111


Kingston Technology, Device ID: 5008

"Device Name:","Kingston Technology, Device ID: 5008"
"Original Device Name:","Kingston Technology, Device ID: 5008"
"Device Class:","NVMe Controller"
"Revision ID:","1"
"PCI Address (Bus:Device:Function) Number:","111:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_2646&DEV_5008&SUBSYS_50082646&REV_01"
"Version:","3.0"
"Maximum Link Width:","2x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:",">64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","D5200000"
"I/O Base Address 2","0"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Standard NVM Express Controller"
"Driver Description:","Standard NVM Express Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_2646&DEV_5008&SUBSYS_50082646&REV_01\4&CE5383C&0&00EE"
"Location Paths","PCIROOT(0)#PCI(1D06)#PCI(0000)"

Intel Comet Lake-U Premium PCH-LP - LPC Controller/eSPI Controller [A0]

"Device Name:","Intel Comet Lake-U Premium PCH-LP - LPC Controller/eSPI Controller [A0]"
"Original Device Name:","Intel Comet Lake-U Premium PCH-LP - LPC Controller/eSPI Controller [A0]"
"Device Class:","PCI-to-ISA Bridge"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:31:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_0284&SUBSYS_129C1462&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","I/O LPC Controller - 0284 for Intel(R) 400 Series Chipset Family On-Package Platform Controller Hub"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_0284&SUBSYS_129C1462&REV_00\3&11583659&2&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]

"Device Name:","Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]"
"Device Class:","High Definition Audio"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:31:3"
"PCI Latency Timer:","32"
"Hardware ID:","PCI\VEN_8086&DEV_02C8&SUBSYS_129C1462&REV_00"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0F8000"
"Memory Base Address 4","FE100000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Microsoft"
"Driver Description:","High Definition Audio Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","18-Mar-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02C8&SUBSYS_129C1462&REV_00\3&11583659&2&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Comet Lake PCH-LP - SMBus Host Controller [A0]

"Device Name:","Intel Comet Lake PCH-LP - SMBus Host Controller [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - SMBus Host Controller [A0]"
"Device Class:","SMBus (System Management Bus)"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:31:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02A3&SUBSYS_129C1462&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","D551A000"
"I/O Base Address 4","EFA0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) SMBus - 02A3"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02A3&SUBSYS_129C1462&REV_00\3&11583659&2&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

