
DESKTOP-ABBBSF5

"Computer Name:","DESKTOP-ABBBSF5"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","None"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O PCI Express Root Port #1 - 9D10"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D10&SUBSYS_8484103C&REV_F1\3&11583659&0&E0"
"Location Paths","PCIROOT(0)#PCI(1C00)"

PCI Express x4 Bus #1


NVIDIA GeForce MX150 (GP108)

"Device Name:","NVIDIA GeForce MX150 (GP108)"
"Original Device Name:","NVIDIA GeForce MX150 (GP108)"
"Device Class:","3D Adapter"
"Revision ID:","A1"
"PCI Address (Bus:Device:Function) Number:","1:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10DE&DEV_1D10&SUBSYS_8484103C&REV_A1"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A3000000"
"Memory Base Address 1","90000000"
"Memory Base Address 3","A0000000"
"I/O Base Address 5","0"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce MX150"
"Driver Provider:","NVIDIA"
"Driver Version:","26.21.14.4097 (GeForce 440.97)"
"Driver Date:","16-Oct-2019"
"DCH/UWD Driver:","Not Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1D10&SUBSYS_8484103C&REV_A1\4&A5021DA&0&00E0"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Intel Skylake-U/Y PCH - PCI Express Root Port #5 [A1/C1]

"Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #5 [A1/C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #5 [A1/C1]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F1 [A1/C1]"
"PCI Address (Bus:Device:Function) Number:","0:28:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D14&SUBSYS_00000000&REV_F1"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O PCI Express Root Port #5 - 9D14"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D14&SUBSYS_8484103C&REV_F1\3&11583659&0&E4"
"Location Paths","PCIROOT(0)#PCI(1C04)"

PCI Express x4 Bus #2


Intel NVM DIMM Controller

"Device Name:","Intel NVM DIMM Controller"
"Original Device Name:","Intel NVM DIMM Controller"
"Device Class:","NVMe Controller"
"Revision ID:","3"
"PCI Address (Bus:Device:Function) Number:","2:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_0975&SUBSYS_84108086&REV_03"
"Version:","3.0"
"Maximum Link Width:","2x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4200000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) NVMe Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","17.2.8.1029"
"Driver Date:","27-Mar-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_0975&SUBSYS_84108086&REV_03\4&39D8280E&0&00E4"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)"

Intel Skylake-U/Y PCH - PCI Express Root Port #9 [A1/C1]

"Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #9 [A1/C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #9 [A1/C1]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F1 [A1/C1]"
"PCI Address (Bus:Device:Function) Number:","0:29:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D18&SUBSYS_00000000&REV_F1"
"Version:","3.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O PCI Express Root Port #9 - 9D18"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D18&SUBSYS_8484103C&REV_F1\3&11583659&0&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

PCI Express x1 Bus #3


RealTek Semiconductor PCI-E Card Reader

"Device Name:","RealTek Semiconductor PCI-E Card Reader"
"Original Device Name:","RealTek Semiconductor PCI-E Card Reader"
"Device Class:","Unknown"
"Revision ID:","1"
"PCI Address (Bus:Device:Function) Number:","3:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10EC&DEV_522A&SUBSYS_8484103C&REV_01"
"Version:","1.1"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","2.5 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4100000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Realtek Semiconductor Corp."
"Driver Description:","Realtek PCIE CardReader"
"Driver Provider:","Realtek Semiconductor Corp."
"Driver Version:","10.0.17763.21314"
"Driver Date:","07-Mar-2019"
"DeviceInstanceId","PCI\VEN_10EC&DEV_522A&SUBSYS_8484103C&REV_01\00000001004CE00000"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

Intel Skylake-U/Y PCH - PCI Express Root Port #10 [A1/C1]

"Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #10 [A1/C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #10 [A1/C1]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F1 [A1/C1]"
"PCI Address (Bus:Device:Function) Number:","0:29:1"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D19&SUBSYS_00000000&REV_F1"
"Version:","3.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTB#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O PCI Express Root Port #10 - 9D19"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D19&SUBSYS_8484103C&REV_F1\3&11583659&0&E9"
"Location Paths","PCIROOT(0)#PCI(1D01)"

PCI Express x1 Bus #4


Intel, Device ID: 2723

"Device Name:","Intel, Device ID: 2723"
"Original Device Name:","Intel, Device ID: 2723"
"Device Class:","Other Network Adapter"
"Revision ID:","1A"
"PCI Address (Bus:Device:Function) Number:","4:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_2723&SUBSYS_16541A56&REV_1A"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4000000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Killer(R) Wi-Fi 6 AX1650x 160MHz Wireless Network Adapter (200NGW)"
"Driver Provider:","Intel"
"Driver Version:","21.40.2.2"
"Driver Date:","01-Sep-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_2723&SUBSYS_16541A56&REV_1A\4&30F57B90&0&00E9"
"Location Paths","PCIROOT(0)#PCI(1D01)#PCI(0000)"

Intel Skylake-U/Y PCH - LPSS: UART #0 [C1]

"Device Name:","Intel Skylake-U/Y PCH - LPSS: UART #0 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - LPSS: UART #0 [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:30:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D27&SUBSYS_8484103C&REV_21"
"Interrupt Line:","IRQ20"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE40E000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO UART Host Controller - 9D27"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1902.1"
"Driver Date:","11-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D27&SUBSYS_8484103C&REV_21\3&11583659&0&F0"
"Location Paths","PCIROOT(0)#PCI(1E00)"

Intel Skylake-U/Y PCH - LPSS: GSPI #1 [C1]

"Device Name:","Intel Skylake-U/Y PCH - LPSS: GSPI #1 [C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - LPSS: GSPI #1 [C1]"
"Device Class:","Other Data Acquisition/Signal Processing Controller"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:30:3"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D2A&SUBSYS_8484103C&REV_21"
"Interrupt Line:","IRQ23"
"Interrupt Pin:","INTD#"
"Memory Base Address 0","FE40F000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO SPI Host Controller - 9D2A"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1902.1"
"Driver Date:","11-Jan-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D2A&SUBSYS_8484103C&REV_21\3&11583659&0&F3"
"Location Paths","PCIROOT(0)#PCI(1E03)"

Intel Kaby Lake-U + iHDCP 2.2 Premium PCH - LPC/eSPI Controller [C1]

"Device Name:","Intel Kaby Lake-U + iHDCP 2.2 Premium PCH - LPC/eSPI Controller [C1]"
"Original Device Name:","Intel Kaby Lake-U + iHDCP 2.2 Premium PCH - LPC/eSPI Controller [C1]"
"Device Class:","PCI-to-ISA Bridge"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:31:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D4E&SUBSYS_8484103C&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile 7th/8th Generation Intel(R) Processor Family I/O LPC Controller (U with iHDCP2.2 Premium) - 9D4E"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D4E&SUBSYS_8484103C&REV_21\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Skylake/Kaby Lake-U/Y/ PCH - Power Management Controller [C1]

"Device Name:","Intel Skylake/Kaby Lake-U/Y/ PCH - Power Management Controller [C1]"
"Original Device Name:","Intel Skylake/Kaby Lake-U/Y/ PCH - Power Management Controller [C1]"
"Device Class:","Other Memory"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:31:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D21&SUBSYS_8484103C&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","A432C000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O PMC - 9D21"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D21&SUBSYS_8484103C&REV_21\3&11583659&0&FA"
"Location Paths","PCIROOT(0)#PCI(1F02)"

Intel Kaby Lake-U/Y PCH - High Definition Audio Controller

"Device Name:","Intel Kaby Lake-U/Y PCH - High Definition Audio Controller"
"Original Device Name:","Intel Kaby Lake-U/Y PCH - High Definition Audio Controller"
"Device Class:","High Definition Audio"
"Revision ID:","21"
"PCI Address (Bus:Device:Function) Number:","0:31:3"
"PCI Latency Timer:","32"
"Hardware ID:","PCI\VEN_8086&DEV_9D71&SUBSYS_8484103C&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4328000"
"Memory Base Address 4","A4300000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel(R) Corporation"
"Driver Description:","Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller"
"Driver Provider:","Intel(R) Corporation"
"Driver Version:","9.21.0.4104"
"Driver Date:","07-Feb-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D71&SUBSYS_8484103C&REV_21\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Skylake/Kaby Lake-U/Y PCH - SMBus Host Controller [C1]

"Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - SMBus Host Controller [C1]"
"Original Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - SMBus Host Controller [C1]"
"Device Class:","SMBus (System Management Bus)"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:31:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D23&SUBSYS_8484103C&REV_21"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A433A000"
"I/O Base Address 4","4040"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Synaptics"
"Driver Description:","Synaptics SMBus Driver"
"Driver Provider:","Synaptics"
"Driver Version:","19.5.35.47"
"Driver Date:","29-Jul-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D23&SUBSYS_8484103C&REV_21\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Video Adapter


Intel UHD Graphics 620

"Video Chipset:","Intel UHD Graphics 620"
"Video Chipset Codename:","Kaby Lake R U GT2"
"Video Memory:","1024 MBytes"
"Video Card:","Intel UHD Graphics 620 (Kaby Lake R U GT2) - Integrated Graphics Controller [Y0] [Hewlett-Packard]"
"Video Bus:","Integrated"
"Video RAMDAC:","Internal"
"Video BIOS Version:","Unknown"
"Video Unit Clock:","400.0 MHz"
"Memory Clock:","1196.0 MHz"
"Hardware ID:","PCI\VEN_8086&DEV_5917&SUBSYS_8484103C&REV_07"
"PCI Location (Bus:Dev:Fnc):","0:02:0"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 620"
"Driver Provider:","Intel Corporation"
"Driver Version:","25.20.100.6617"
"Driver Date:","08-Mar-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_5917&SUBSYS_8484103C&REV_07\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

NVIDIA GeForce MX150

"Video Chipset:","NVIDIA GeForce MX150"
"Video Chipset Codename:","GP108"
"Video Memory:","4096 MBytes of GDDR5 SDRAM [Samsung]"
"Video Card:","NVIDIA GeForce MX150 (GP108) [Hewlett-Packard]"
"Video Bus:","PCIe v3.0 x4 (8.0 GT/s) @ x4 (2.5 GT/s)"
"Video BIOS Version:","86.08.28.00.3f"
"Video Chipset Revision:","A1"
"Processor Clock:","607.5 MHz"
"Video Unit Clock:","544.0 MHz"
"Memory Clock:","202.5 MHz (Effective 810.0 MHz)"
"Memory Bus Width:","64-bit"
"Number Of ROPs:","16"
"Number Of Unified Shaders:","384"
"Number Of TMUs (Texture Mapping Units):","24"
"NVIDIA SLI Status:","Not Present"
"Hardware ID:","PCI\VEN_10DE&DEV_1D10&SUBSYS_8484103C&REV_A1"
"PCI Location (Bus:Dev:Fnc):","1:00:0"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce MX150"
"Driver Provider:","NVIDIA"
"Driver Version:","26.21.14.4097 (GeForce 440.97)"
"Driver Date:","16-Oct-2019"
"DCH/UWD Driver:","Not Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1D10&SUBSYS_8484103C&REV_A1\4&A5021DA&0&00E0"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)"

Monitor


InfoVision [Unknown Model: IVO061C]

"Monitor Name:","InfoVision [Unknown Model: IVO061C]"
"Monitor Name (Manuf):","M156NVF4 R0  "
"Serial Number:","Unknown"
"Date Of Manufacture:","Week: 0, Year: 2017"
"Monitor Hardware ID:","Monitor\IVO061C"
"Max. Vertical Size:","19 cm"
"Max. Horizontal Size:","34 cm"
"Input Signal:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","Not Supported"
"Suspend:","Not Supported"
"Active Off:","Not Supported"
"Standard Colour Space (sRGB) Default:","Not Supported"
"Preferred Timing Mode:","Supported"
"Default GTF (Continuous Frequency):","Not Supported"
"DFP 1.x Compatible:","Yes"
"1920 x 1080","344 x 194 mm, Pixel Clock 277.60 MHz"

Drives


(S)ATA/ATAPI Drives


ST2000LM007-1R8174

"Drive Controller:","Serial ATA 6Gb/s @ 6Gb/s"
"Host Controller:","Intel Skylake-U/Y PCH - SATA AHCI Controller [C1]"
"Drive Model:","Seagate ST2000LM007-1R8174"
"Drive Firmware Revision:","SBK2"
"Drive Serial Number:","ZDZ36Y84"
"World Wide Name:","5000C500B188AC56"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"Media Rotation Rate:","5400 RPM"
"Nominal Form Factor:","2.5"""
"ATA Major Version Supported:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3"
"ATA Minor Version Supported:","ACS-3 Revision 3b"
"ATA Transport Version Supported:","SATA 3.1"
"Number of Cylinders:","16383"
"Number of Heads:","16"
"Sectors Per Track:","63"
"Number of Sectors:","16514064"
"Total 32-bit LBA Sectors:","268435455"
"Total 48-bit LBA Sectors:","3907029168"
"Logical Sector Size:","512 Bytes"
"Cache Buffer Size:","N/A"
"Sectors Per Interrupt:","Total: 16, Active: 16"
"Max. PIO Transfer Mode:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 6 (ATA-133)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Supported, Max. Depth: 32"
"TRIM Command:","Not Supported"
"Fixed Drive:","Present"
"Removable Drive:","Not Present"
"Magnetic Storage:","Present"
"LBA Mode:","Supported"
"DMA Mode:","Supported"
"IORDY:","Supported"
"IORDY Disableable:","Supported"
"Write Cache:","Present, Active"
"S.M.A.R.T. Feature:","Present, Active"
"Security Feature:","Present, Inactive"
"Removable Media Feature:","Not Present, Disabled"
"Power Management:","Present, Active"
"Advanced Power Management:","Present, Active"
"Packet Interface:","Not Present, Disabled"
"Look-Ahead Buffer:","Present, Active"
"Host Protected Area:","Present, Enabled"
"Power-Up In Standby:","Supported, Inactive"
"Automatic Acoustic Management:","Not Suppported, Inactive"
"48-bit LBA:","Supported, Active"
"Host-Initiated Link Power Management:","Supported"
"Device-Initiated Link Power Management:","Supported, Enabled"
"In-Order Data Delivery:","Not Supported"
"Hardware Feature Control:","Supported, Disabled"
"Software Settings Preservation:","Supported, Enabled"
"NCQ Autosense:","Not Supported"
"Link Power State Device Sleep:","Not Supported"
"Hybrid Information Feature:","Not Supported"
"Rebuild Assist:","Not Supported"
"Power Disable:","Not Supported"
"All Write Cache Non-Volatile:","Not Supported"
"Extended Number of User Addressable Sectors:","Not Supported"
"CFast Specification:","Not Supported"
"NCQ Priority Information:","Not Supported"
"Host Automatic Partial to Slumber Transitions:","Not Supported"
"Device Automatic Partial to Slumber Transitions:","Not Supported"
"NCQ Streaming:","Not Supported"
"NCQ Queue Management Command:","Not Supported"
"DevSleep to Reduced Power State:","Not Supported"
"Extended Power Conditions Feature:","Not Supported"
"Sense Data Reporting Feature:","Not Supported"
"Free-Fall Control Feature:","Not Supported"
"Write-Read-Verify Feature:","Supported, Disabled"
"Security Feature:","Supported"
"Security Status:","Disabled"
"Security Locked:","Disabled"
"Security Frozen:","Disabled"
"Enhanced Security Erase:","Supported"
"Sanitize Feature:","Not Supported"
"Sanitize Device - Crypto Scramble:","Not Supported"
"Sanitize Device - Overwrite:","Not Supported"
"Sanitize Device - Block Erase:","Not Supported"
"Sanitize Device - Antifreeze Lock:","Not Supported"
"Device Encrypts All User Data:","Not Supported"
"Trusted Computing:","Not Supported"
"[01] Raw Read Error Rate:","67/6, Worst: 64 (Data = 5092162,0)"
"[03] Spin Up Time:","97/Always OK, Worst: 97"
"[04] Start/Stop Count:","100/20, Worst: 100 (Data = 212,0)"
"[05] Reallocated Sector Count:","100/36, Worst: 100"
"[07] Seek Error Rate:","100/45, Worst: 253 (Data = 12360,0)"
"[09] Power-On Hours/Cycle Count:","100/Always OK, Worst: 100 (78 hours / 3.3 days)"
"[0A] Spin Retry Count:","100/97, Worst: 100"
"[0C] Power Cycle Count:","100/20, Worst: 100 (Data = 107,0)"
"[B8] End to End Error Detection Count:","100/99, Worst: 100"
"[BB] Reported Uncorrectable Errors:","100/Always OK, Worst: 100"
"[BC] Command Timeout Count:","100/Always OK, Worst: 100"
"[BD] High Fly Writes","100/Always OK, Worst: 100"
"[BE] Airflow Temperature / Exceed Count:","70/40, Worst: 58 (30.0 °C)"
"[BF] G-Sense Error Rate:","100/Always OK, Worst: 100 (Data = 1,0)"
"[C0] Power-Off Retract Count:","100/Always OK, Worst: 100 (Data = 7,0)"
"[C1] Load/Unload Cycle Count:","100/Always OK, Worst: 100 (Data = 743,0)"
"[C2] Temperature","30/Always OK, Worst: 42 (30.0 °C)"
"[C5] Current Pending Sector Count:","100/Always OK, Worst: 100"
"[C6] Off-Line Uncorrectable Sector Count:","100/Always OK, Worst: 100"
"[C7] UltraDMA/SATA CRC Error Rate:","200/Always OK, Worst: 200"
"[F0] Head Flying Hours:","100/Always OK, Worst: 253 (Data = 16,4874)"
"[F1] Lifetime Writes from Host (LBAs Written):","100/Always OK, Worst: 253 (Data = 1049045,0)"
"[F2] Lifetime Reads from Host (LBAs Read):","100/Always OK, Worst: 253 (Data = 4043117,0)"
