
LAPTOP-U5PI9T6R

"Computer Name:","LAPTOP-U5PI9T6R"
"Version:","3.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTC#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #15 - A336"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A336&SUBSYS_133A1025&REV_F0\3&11583659&0&EE"
"Location Paths","PCIROOT(0)#PCI(1D06)"

PCI Express x1 Bus #7


Atheros/Qualcomm QCA6174 802.11ac Wireless Network Adapter

"Device Name:","Atheros/Qualcomm QCA6174 802.11ac Wireless Network Adapter"
"Original Device Name:","Atheros/Qualcomm QCA6174 802.11ac Wireless Network Adapter"
"Device Class:","Other Network Adapter"
"Revision ID:","32"
"PCI Address (Bus:Device:Function) Number:","7:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_168C&DEV_003E&SUBSYS_080711AD&REV_32"
"Version:","1.1"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","2.5 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A4200000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Qualcomm Atheros Communications Inc."
"Driver Description:","Qualcomm Atheros QCA61x4A Wireless Network Adapter"
"Driver Provider:","Qualcomm Atheros Communications Inc."
"Driver Version:","12.0.0.815"
"Driver Date:","04-Nov-2018"
"DeviceInstanceId","PCI\VEN_168C&DEV_003E&SUBSYS_080711AD&REV_32\4&2A2BC436&0&00EE"
"Location Paths","PCIROOT(0)#PCI(1D06)#PCI(0000)"

Intel Cannon Lake-H/S - LPSS: UART #0 [B0]

"Device Name:","Intel Cannon Lake-H/S - LPSS: UART #0 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - LPSS: UART #0 [B0]"
"Device Class:","Other Communication Device"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:30:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A328&SUBSYS_133A1025&REV_10"
"Interrupt Line:","IRQ20"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Serial IO UART Host Controller - A328"
"Driver Provider:","Intel Corporation"
"Driver Version:","30.100.1841.2"
"Driver Date:","08-Oct-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_A328&SUBSYS_133A1025&REV_10\3&11583659&0&F0"
"Location Paths","PCIROOT(0)#PCI(1E00)"

Intel HM370 PCH (Cannon Lake-H) - LPC Controller/eSPI Controller [B0]

"Device Name:","Intel HM370 PCH (Cannon Lake-H) - LPC Controller/eSPI Controller [B0]"
"Original Device Name:","Intel HM370 PCH (Cannon Lake-H) - LPC Controller/eSPI Controller [B0]"
"Device Class:","PCI-to-ISA Bridge"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:31:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A30D&SUBSYS_133A1025&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) 300 Series Chipset Family LPC Controller (HM370) - A30D"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A30D&SUBSYS_133A1025&REV_10\3&11583659&0&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]

"Device Name:","Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]"
"Device Class:","High Definition Audio"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:31:3"
"PCI Latency Timer:","32"
"Hardware ID:","PCI\VEN_8086&DEV_A348&SUBSYS_133A1025&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","FE0FC000"
"Memory Base Address 4","FE100000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel(R) Corporation"
"Driver Description:","Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller"
"Driver Provider:","Intel(R) Corporation"
"Driver Version:","10.23.0.1878"
"Driver Date:","05-Sep-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_A348&SUBSYS_133A1025&REV_10\3&11583659&0&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Cannon Lake-H/S - SMBus Controller [B0]

"Device Name:","Intel Cannon Lake-H/S - SMBus Controller [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - SMBus Controller [B0]"
"Device Class:","SMBus (System Management Bus)"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:31:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A323&SUBSYS_133A1025&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","A46A5000"
"I/O Base Address 4","5040"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) SMBus - A323"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A323&SUBSYS_133A1025&REV_10\3&11583659&0&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Intel Cannon Lake-H/S - SPI (flash) Controller [B0]

"Device Name:","Intel Cannon Lake-H/S - SPI (flash) Controller [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - SPI (flash) Controller [B0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:31:5"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A324&SUBSYS_133A1025&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","FE010000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) SPI (flash) Controller - A324"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A324&SUBSYS_133A1025&REV_10\3&11583659&0&FD"
"Location Paths","PCIROOT(0)#PCI(1F05)"

Video Adapter


Intel UHD Graphics 630

"Video Chipset:","Intel UHD Graphics 630"
"Video Chipset Codename:","Coffee Lake-H GT2"
"Video Memory:","1024 MBytes"
"Video Card:","Intel UHD Graphics 630 (Coffee Lake-H GT2) - Integrated Graphics Controller [ACER]"
"Video Bus:","Integrated"
"Video RAMDAC:","Internal"
"Video BIOS Version:","Unknown"
"Memory Clock:","1329.0 MHz"
"Hardware ID:","PCI\VEN_8086&DEV_3E9B&SUBSYS_133A1025&REV_00"
"PCI Location (Bus:Dev:Fnc):","0:02:0"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 630"
"Driver Provider:","Intel Corporation"
"Driver Version:","25.20.100.6519"
"Driver Date:","09-Jan-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_3E9B&SUBSYS_133A1025&REV_00\3&11583659&0&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

NVIDIA GeForce GTX 1650

"Video Chipset:","NVIDIA GeForce GTX 1650"
"Video Chipset Codename:","TU117M"
"Video Memory:","4096 MBytes of GDDR5 SDRAM [Micron]"
"Video Card:","NVIDIA GeForce GTX 1650 (TU117M) [ACER]"
"Video Bus:","PCIe v3.0 x16 (8.0 GT/s) @ x16 (2.5 GT/s)"
"Video RAMDAC:","Integrated RAMDAC"
"Video BIOS Version:","90.17.12.00.14"
"Video Chipset Revision:","A1"
"Processor Clock:","300.0 MHz"
"Video Unit Clock:","540.0 MHz"
"Memory Clock:","202.5 MHz (Effective 810.0 MHz)"
"Memory Bus Width:","128-bit"
"Number Of ROPs:","32"
"Number Of Unified Shaders:","1024"
"NVIDIA SLI Status:","Not Present"
"Hardware ID:","PCI\VEN_10DE&DEV_1F91&SUBSYS_13371025&REV_A1"
"PCI Location (Bus:Dev:Fnc):","1:00:0"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce GTX 1650"
"Driver Provider:","NVIDIA"
"Driver Version:","25.21.14.1788 (GeForce 417.88)"
"Driver Date:","12-Feb-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1F91&SUBSYS_13371025&REV_A1\4&197A98C4&0&0008"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0000)"

Monitor


Unknown

"Monitor Name:","Unknown"
"Monitor Name (Manuf):","LM156LF9L02  "
"Serial Number:","Unknown"
"Date Of Manufacture:","Week: 20, Year: 2018"
"Monitor Hardware ID:","Monitor\NCP002F"
"Max. Vertical Size:","19 cm"
"Max. Horizontal Size:","34 cm"
"Input Signal:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","Not Supported"
"Suspend:","Not Supported"
"Active Off:","Not Supported"
"Standard Colour Space (sRGB) Default:","Not Supported"
"Preferred Timing Mode:","Supported"
"Default GTF (Continuous Frequency):","Not Supported"
"DFP 1.x Compatible:","Yes"
"1920 x 1080","344 x 194 mm, Pixel Clock 138.65 MHz"

Drives


(S)ATA/ATAPI Drives


WD20SPZX-21UA7T0

"Drive Controller:","Serial ATA 6Gb/s @ 6Gb/s"
"Host Controller:","Intel ICH8/PCH - SATA RAID 0/1/5/10 Controller"
"Drive Model:","WD20SPZX-21UA7T0"
"Drive Firmware Revision:","01.01A01"
"Drive Serial Number:","WXQ1EA8AVSVN"
"World Wide Name:","50014EE65E97A131"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"Media Rotation Rate:","5400 RPM"
"Nominal Form Factor:","2.5"""
"ATA Major Version Supported:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3"
"ATA Minor Version Supported:","ACS-3 Revision 5"
"ATA Transport Version Supported:","SATA 3.1"
"Number of Cylinders:","16383"
"Number of Heads:","16"
"Sectors Per Track:","63"
"Number of Sectors:","16514064"
"Total 32-bit LBA Sectors:","268435455"
"Total 48-bit LBA Sectors:","3907029168"
"Logical Sector Size:","512 Bytes"
"Cache Buffer Size:","N/A"
"Sectors Per Interrupt:","Total: 16, Active: 16"
"Max. PIO Transfer Mode:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 6 (ATA-133)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Supported, Max. Depth: 32"
"TRIM Command:","Supported (Deterministic Read After TRIM, Any Value)"
"Fixed Drive:","Present"
"Removable Drive:","Not Present"
"Magnetic Storage:","Present"
"LBA Mode:","Supported"
"DMA Mode:","Supported"
"IORDY:","Supported"
"IORDY Disableable:","Supported"
"Write Cache:","Present, Active"
"S.M.A.R.T. Feature:","Present, Active"
"Security Feature:","Present, Inactive"
"Removable Media Feature:","Not Present, Disabled"
"Power Management:","Present, Active"
"Advanced Power Management:","Present, Active"
"Packet Interface:","Not Present, Disabled"
"Look-Ahead Buffer:","Present, Active"
"Host Protected Area:","Not Present, Disabled"
"Power-Up In Standby:","Supported, Inactive"
"Automatic Acoustic Management:","Not Suppported, Inactive"
"48-bit LBA:","Supported, Active"
"Host-Initiated Link Power Management:","Supported"
"Device-Initiated Link Power Management:","Supported, Enabled"
"In-Order Data Delivery:","Not Supported"
"Hardware Feature Control:","Not Supported"
"Software Settings Preservation:","Supported, Enabled"
"NCQ Autosense:","Not Supported"
"Link Power State Device Sleep:","Not Supported"
"Hybrid Information Feature:","Not Supported"
"Rebuild Assist:","Not Supported"
"Power Disable:","Not Supported"
"All Write Cache Non-Volatile:","Not Supported"
"Extended Number of User Addressable Sectors:","Supported"
"CFast Specification:","Not Supported"
"NCQ Priority Information:","Supported"
"Host Automatic Partial to Slumber Transitions:","Not Supported"
"Device Automatic Partial to Slumber Transitions:","Not Supported"
"NCQ Streaming:","Not Supported"
"NCQ Queue Management Command:","Not Supported"
"DevSleep to Reduced Power State:","Not Supported"
"Extended Power Conditions Feature:","Not Supported"
"Sense Data Reporting Feature:","Not Supported"
"Free-Fall Control Feature:","Not Supported"
"Write-Read-Verify Feature:","Not Supported"
"Security Feature:","Supported"
"Security Status:","Disabled"
"Security Locked:","Disabled"
"Security Frozen:","Enabled"
"Enhanced Security Erase:","Supported"
"Sanitize Feature:","Not Supported"
"Sanitize Device - Crypto Scramble:","Not Supported"
"Sanitize Device - Overwrite:","Not Supported"
"Sanitize Device - Block Erase:","Not Supported"
"Sanitize Device - Antifreeze Lock:","Not Supported"
"Device Encrypts All User Data:","Not Supported"
"Trusted Computing:","Not Supported"
"[01] Raw Read Error Rate:","100/51, Worst: 253"
"[03] Spin Up Time:","225/21, Worst: 218 (Data = 1733,0)"
"[04] Start/Stop Count:","100/Always OK, Worst: 100 (Data = 230,0)"
"[05] Reallocated Sector Count:","200/140, Worst: 200"
"[07] Seek Error Rate:","200/Always OK, Worst: 200"
"[09] Power-On Hours/Cycle Count:","100/Always OK, Worst: 100 (74 hours / 3.1 days)"
"[0A] Spin Retry Count:","100/Always OK, Worst: 100"
"[0B] Calibration Retry Count:","100/Always OK, Worst: 253"
"[0C] Power Cycle Count:","100/Always OK, Worst: 100 (Data = 95,0)"
"[BF] G-Sense Error Rate:","1/Always OK, Worst: 1 (Data = 266,0)"
"[C0] Power-Off Retract Count:","200/Always OK, Worst: 200 (Data = 20,0)"
"[C1] Load/Unload Cycle Count:","200/Always OK, Worst: 200 (Data = 375,0)"
"[C2] Temperature","123/Always OK, Worst: 110 (24.0 °C)"
"[C4] Reallocation Event Count:","200/Always OK, Worst: 200"
"[C5] Current Pending Sector Count:","200/Always OK, Worst: 200"
"[C6] Off-Line Uncorrectable Sector Count:","100/Always OK, Worst: 253"
"[C7] UltraDMA/SATA CRC Error Rate:","200/Always OK, Worst: 200"
"[C8] Write/Multi-Zone Error Rate:","100/Always OK, Worst: 253"

WDC PC SN520 SDAPNUW-512G-1014

"Host Controller:","Intel ICH8/PCH - SATA RAID 0/1/5/10 Controller"
"Drive Model:","WDC PC SN520 SDAPNUW-512G-1014"
"Drive Serial Number:","190486466513"
"Drive Firmware Revision:","20110000"
"NVMe Version Supported:","v1.3"
"Drive Capacity:","488,386 MBytes (512 GB)"
"Drive Capacity [MB]:","488386"
"Volatile Write Cache:","Present"
"Compare Command:","Supported"
"Write Uncorrectable Command:","Supported"
"Dataset Management:","Supported"
"Write Zeroes:","Supported"
"Save field set to a non-zero value:","Supported"
"Reservations:","Not Supported"
"Timestamp:","Not Supported"
"Autonomous Power State Transitions:","Supported"
"Available Space Below Threshold:","OK"
"Temperature Exceeded Critical Threshold:","OK"
"Device Reliablity Degraded:","OK"
"Media In Read Only Mode:","OK"
"Volatile Memory Backup Device Failed:","OK"
"Drive Temperature:","34 °C"
"Warning Temperature Threshold:","82 °C"
"Critical Temperature Threshold:","86 °C"
"Time Above Warning Temperature Threshold:","0 minutes"
"Time Above Critical Temperature Threshold:","0 minutes"
"Spare Capacity Available:","100%"
"Device Health:","100%"
"Power Cycles:","105"
"Power On Hours:","3 hours"
"Unsafe Shutdowns:","27"
"Media Errors:","0"
"Total Host Reads:","188 GBytes"
"Total Host Writes:","180 GBytes"

SanDisk SD9SN8W2T00

"Drive Controller:","Serial ATA 6Gb/s @ 6Gb/s <-> USB"
"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Drive Model:","SanDisk SD9SN8W2T00"
"Drive Firmware Revision:","X61110RL"
"Drive Serial Number:","19271C455611"
"World Wide Name:","5001B444A8E2ED3C"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"Media Rotation Rate:","SSD Drive (Non-rotating)"
"Nominal Form Factor:","M.2"
"ATA Major Version Supported:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3, ACS-4"
"ATA Minor Version Supported:","ACS-4 Revision 5"
"ATA Transport Version Supported:","SATA 3.3"
"Number of Cylinders:","16383"
"Number of Heads:","16"
"Sectors Per Track:","63"
"Number of Sectors:","16514064"
"Total 32-bit LBA Sectors:","268435455"
"Total 48-bit LBA Sectors:","3907029168"
"Logical Sector Size:","512 Bytes"
"Cache Buffer Size:","N/A"
"Sectors Per Interrupt:","Total: 1, Active: 1"
"Max. PIO Transfer Mode:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Supported, Max. Depth: 32"
"TRIM Command:","Supported (Deterministic Read After TRIM, Words = 0)"
"Fixed Drive:","Present"
"Removable Drive:","Not Present"
"Magnetic Storage:","Present"
"LBA Mode:","Supported"
"DMA Mode:","Supported"
"IORDY:","Supported"
"IORDY Disableable:","Supported"
"Write Cache:","Present, Active"
"S.M.A.R.T. Feature:","Present, Active"
"Security Feature:","Present, Inactive"
"Removable Media Feature:","Not Present, Disabled"
"Power Management:","Present, Active"
"Advanced Power Management:","Present, Active"
"Packet Interface:","Not Present, Disabled"
"Look-Ahead Buffer:","Present, Active"
"Host Protected Area:","Not Present, Disabled"
"Power-Up In Standby:","Not Suppported, Inactive"
"Automatic Acoustic Management:","Not Suppported, Inactive"
"48-bit LBA:","Supported, Active"
"Host-Initiated Link Power Management:","Not Supported"
"Device-Initiated Link Power Management:","Supported, Disabled"
"In-Order Data Delivery:","Not Supported"
"Hardware Feature Control:","Supported, Disabled"
"Software Settings Preservation:","Supported, Disabled"
"NCQ Autosense:","Not Supported"
"Link Power State Device Sleep:","Supported, Enabled"
"Hybrid Information Feature:","Not Supported"
"Rebuild Assist:","Not Supported"
"Power Disable:","Not Supported"
"All Write Cache Non-Volatile:","Not Supported"
"Extended Number of User Addressable Sectors:","Not Supported"
"CFast Specification:","Not Supported"
"NCQ Priority Information:","Not Supported"
"Host Automatic Partial to Slumber Transitions:","Not Supported"
"Device Automatic Partial to Slumber Transitions:","Not Supported"
"NCQ Streaming:","Not Supported"
"NCQ Queue Management Command:","Not Supported"
"DevSleep to Reduced Power State:","Not Supported"
"Extended Power Conditions Feature:","Not Supported"
"Sense Data Reporting Feature:","Not Supported"
"Free-Fall Control Feature:","Not Supported"
"Write-Read-Verify Feature:","Not Supported"
"Security Feature:","Supported"
"Security Status:","Disabled"
"Security Locked:","Disabled"
"Security Frozen:","Disabled"
"Enhanced Security Erase:","Supported"
"Sanitize Feature:","Supported"
"Sanitize Device - Crypto Scramble:","Not Supported"
"Sanitize Device - Overwrite:","Not Supported"
"Sanitize Device - Block Erase:","Supported"
"Sanitize Device - Antifreeze Lock:","Not Supported"
"Device Encrypts All User Data:","Not Supported"
"Trusted Computing:","Not Supported"
"[05] Reallocated Sector Count:","100/Always OK, Worst: 100"
"[09] Power-On Hours/Cycle Count:","100/Always OK, Worst: 100 (218 hours / 9.1 days)"
"[0C] Power Cycle Count:","100/Always OK, Worst: 100 (Data = 443,0)"
"[A5] Initial Bad Block Count:","100/Always OK, Worst: 100 (Data = 917512,0)"
"[A6] Min W/E Cycle:","100/Always OK, Worst: 100"
"[A7] Max Bad Block per Die:","100/Always OK, Worst: 100 (Data = 62,0)"
"[A8] Max Erase Cycle:","100/Always OK, Worst: 100 (Data = 1,0)"
"[A9] Total Bad Block Count:","100/Always OK, Worst: 100 (Data = 1446,0)"
"[AA] Available Reserved Space/Block Count:","100/Always OK, Worst: 100"
"[AB] Program Fail Count (Total):","100/Always OK, Worst: 100"
"[AC] Erase Fail Count (Total):","100/Always OK, Worst: 100"
"[AD] Average Erase Cycle:","100/Always OK, Worst: 100"
"[AE] Unexpected Power Loss Count:","100/Always OK, Worst: 100 (Data = 269,0)"
"[B8] End-to-End Data Errors Corrected","100/Always OK, Worst: 100"
"[BB] Uncorrectable Error Count:","100/Always OK, Worst: 100"
"[BC] Command Timeout Count:","100/Always OK, Worst: 100"
"[C2] Temperature","75/Always OK, Worst: 54 (25.0 °C)"
"[C7] SATA CRC Error Count:","100/Always OK, Worst: 100"
"[E6] Percentage Total P/E Count:","100/Always OK, Worst: 100 (Data = 1,1)"
"[E8] Spare Block Remaining:","100/4, Worst: 100 (Data = 100,0)"
"[E9] Total GB Written To NAND:","100/Always OK, Worst: 100 (Data = 351,0)"
"[EA] Unknown","100/Always OK, Worst: 100 (Data = 409,0)"
"[F1] Total Host Writes:","253/Always OK, Worst: 253 (Data = 392,0)"
"[F2] Total Host Reads:","253/Always OK, Worst: 253 (Data = 561,0)"
"[F4] ECC Cumulative Threshold Events:","0/Always OK, Worst: 100"
"Drive Remaining Life","100%"
"Lifetime Power-On Resets:","443"
"Power-on Hours:","0"
"Logical Sectors Written:","823121909"
"Logical Sectors Read:","1177136753"
"Number of Write Commands:","12427228"
"Number of Read Commands:","26741607"
"Used Endurance Indicator:","0%"

SanDisk SES Device

"Drive Model:","SanDisk SES Device"
"Drive Firmware Revision:","1012"
"Device Type:","Enclosure"

SCSI Devices


SanDisk Extreme SSD

"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Device Description:","SanDisk Extreme SSD"
"Device Firmware Revision:","1012"
"Device Type:","Disk drive"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"SCSI Port Number:","1"
"SCSI Path ID:","0"
"SCSI Target ID:","0"
"SCSI Logical Unit Number:","0"
"SCSI Version:","SCSI-6"
"Removable Device:","Not Capable"
"Tagged Command Queuing:","Supported"
"Linked Commands:","Not Supported"
"Synchronous Data Transfer:","Not Supported"
"Relative Addressing:","Not Supported"
"Asynchronous Event Notification:","Not Supported"
"Self-Test Result:","OK"

Audio


Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]

"Audio Adapter:","Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]"
"Audio Controller Hardware ID:","PCI\VEN_8086&DEV_A348&SUBSYS_133A1025&REV_10"
"High Definition Audio Codec:","RealTek"
"Audio Codec Hardware ID:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0255&SUBSYS_00000000"

Network


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Network Card:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Vendor Description:","Realtek Gaming GbE Family Controller"
"MAC Address:","98-28-A6-3A-51-BA"
"Maximum Link Speed:","1000 Mbps"
"Transmit Buffer Size:","387584 Bytes"
"Receive Buffer Size:","775168 Bytes"
"Hardware ID:","PCI\VEN_10EC&DEV_8168&SUBSYS_133A1025&REV_25"
"Driver Manufacturer:","Realtek"
"Driver Description:","Realtek Gaming GbE Family Controller"
"Driver Provider:","Realtek"
"Driver Version:","10.32.1206.2018"
"Driver Date:","06-Dec-2018"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_133A1025&REV_25\4&A8F3C81&0&00E8"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

Atheros/Qualcomm QCA6174 802.11ac Wireless Network Adapter

"Network Card:","Atheros/Qualcomm QCA6174 802.11ac Wireless Network Adapter"
"Vendor Description:","Microsoft"
"MAC Address:","00-F4-8D-5C-F9-65"
"Maximum Link Speed:","866 Mbps"
"Transmit Buffer Size:","9 Bytes"
"Receive Buffer Size:","9 Bytes"
"Hardware ID:","PCI\VEN_168C&DEV_003E&SUBSYS_080711AD&REV_32"
"Driver Manufacturer:","Qualcomm Atheros Communications Inc."
"Driver Description:","Qualcomm Atheros QCA61x4A Wireless Network Adapter"
"Driver Provider:","Qualcomm Atheros Communications Inc."
"Driver Version:","12.0.0.815"
"Driver Date:","04-Nov-2018"
"DeviceInstanceId","PCI\VEN_168C&DEV_003E&SUBSYS_080711AD&REV_32\4&2A2BC436&0&00EE"
"Location Paths","PCIROOT(0)#PCI(1D06)#PCI(0000)"

Ports


Serial Ports


USB


Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : USB Composite Device

"Device Manufacturer:","Quanta Computer"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_0408&PID_A061"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0408&PID_A061\5&386F46E1&0&5"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : EgisTec Touch Fingerprint Sensor

"Device Manufacturer:","-"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","1.10"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","EgisTec Touch Fingerprint Sensor"
