
DESKTOP-TEIQM7R

"Computer Name:","DESKTOP-TEIQM7R"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","2:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Upstream Port of PCI Express Switch"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","1 - 2 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Upstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_863E103C&REV_06\UCB232C4A67B7D00000"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)"

PCI Express x4 Bus #3


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","3:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_863E103C&REV_06\CB232C4A67B7D00000"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)#PCI(0000)"

PCI Express x4 Bus #4


Intel Titan Ridge Thunderbolt 3 DMA Embedded Endpoint

"Device Name:","Intel Titan Ridge Thunderbolt 3 DMA Embedded Endpoint"
"Original Device Name:","Intel Titan Ridge Thunderbolt 3 DMA Embedded Endpoint"
"Device Class:","Unknown Peripheral Device"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","4:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EB&SUBSYS_863E103C&REV_06"
"Version:","1.1"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","2.5 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","8DBC0000"
"Memory Base Address 1","8DBBF000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel(R) Corporation"
"Driver Description:","Thunderbolt(TM) Controller - 15EB"
"Driver Provider:","Intel(R) Corporation"
"Driver Version:","1.41.613.0"
"Driver Date:","07-Feb-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EB&SUBSYS_863E103C&REV_06\CB232C4A67B7D00000"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)#PCI(0000)#PCI(0000)"

Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","3:1:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_863E103C&REV_06\CB232C4A67B7D00008"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)#PCI(0100)"

PCI Express x4 Bus #5


Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","3:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_863E103C&REV_06\CB232C4A67B7D00010"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)#PCI(0200)"

PCI Express x4 Bus #6


Intel Titan Ridge Thunderbolt xHCI Embedded Endpoint

"Device Name:","Intel Titan Ridge Thunderbolt xHCI Embedded Endpoint"
"Original Device Name:","Intel Titan Ridge Thunderbolt xHCI Embedded Endpoint"
"Device Class:","USB xHCI Controller"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","6:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EC&SUBSYS_863E103C&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","8DFF0000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"USB Version Supported:","3.1"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","19-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EC&SUBSYS_863E103C&REV_06\CB232C4A67B7D00000"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)#PCI(0200)#PCI(0000)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.1 SuperSpeedPlus"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)#PCI(0200)#PCI(0000)#USBROOT(0)#USB(4)"

Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge

"Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Original Device Name:","Intel JHL7540/JHL8040 Titan Ridge/Burnside Bridge Thunderbolt Switch and Root Complex Bridge"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","6"
"PCI Address (Bus:Device:Function) Number:","3:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15EA&SUBSYS_00000000&REV_06"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","< 64 ns"
"L1 Exit Latency:","< 1 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.207"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15EA&SUBSYS_863E103C&REV_06\CB232C4A67B7D00020"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)#PCI(0400)"

PCI Express x4 Bus #7


Intel Cannon Lake-H/S - PCI Express Root Port #9 [B0]

"Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #9 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #9 [B0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:29:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A330&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","2x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #9 - A330"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A330&SUBSYS_863E103C&REV_F0\3&11583659&2&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

PCI Express x2 Bus #109


Intel NVM DIMM Controller

"Device Name:","Intel NVM DIMM Controller"
"Original Device Name:","Intel NVM DIMM Controller"
"Device Class:","NVMe Controller"
"Revision ID:","3"
"PCI Address (Bus:Device:Function) Number:","109:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_0975&SUBSYS_84108086&REV_03"
"Version:","3.0"
"Maximum Link Width:","2x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","90500000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) NVMe Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","17.5.2.1024"
"Driver Date:","08-Jul-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_0975&SUBSYS_84108086&REV_03\4&4B14AA7&0&00E8"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

Intel Cannon Lake-H/S - PCI Express Root Port #11 [B0]

"Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #11 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #11 [B0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:29:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A332&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","2x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTC#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #11 - A332"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A332&SUBSYS_863E103C&REV_F0\3&11583659&2&EA"
"Location Paths","PCIROOT(0)#PCI(1D02)"

PCI Express x2 Bus #110


Intel NVM DIMM Controller

"Device Name:","Intel NVM DIMM Controller"
"Original Device Name:","Intel NVM DIMM Controller"
"Device Class:","NVMe Controller"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","110:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_0975&SUBSYS_85108086&REV_00"
"Version:","3.0"
"Maximum Link Width:","2x"
"Current Link Width:","2x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:",">64 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","90410000"
"Memory Base Address 4","90400000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) NVMe Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","17.5.2.1024"
"Driver Date:","08-Jul-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_0975&SUBSYS_85108086&REV_00\4&23B19B18&0&00EA"
"Location Paths","PCIROOT(0)#PCI(1D02)#PCI(0000)"

Intel Cannon Lake-H/S - PCI Express Root Port #15 [B0]

"Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #15 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #15 [B0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:29:6"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A336&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTC#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #15 - A336"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A336&SUBSYS_863E103C&REV_F0\3&11583659&2&EE"
"Location Paths","PCIROOT(0)#PCI(1D06)"

PCI Express x1 Bus #111


Intel, Device ID: 2723

"Device Name:","Intel, Device ID: 2723"
"Original Device Name:","Intel, Device ID: 2723"
"Device Class:","Other Network Adapter"
"Revision ID:","1A"
"PCI Address (Bus:Device:Function) Number:","111:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_2723&SUBSYS_008C8086&REV_1A"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","903FC000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wi-Fi 6 AX200 160MHz"
"Driver Provider:","Intel"
"Driver Version:","21.10.1.2"
"Driver Date:","24-Apr-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_2723&SUBSYS_008C8086&REV_1A\4&20F086F2&0&00EE"
"Location Paths","PCIROOT(0)#PCI(1D06)#PCI(0000)"

Intel Cannon Lake-H/S - PCI Express Root Port #16 [B0]

"Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #16 [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - PCI Express Root Port #16 [B0]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F0 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:29:7"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A337&SUBSYS_00000000&REV_F0"
"Version:","3.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTD#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) PCI Express Root Port #16 - A337"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A337&SUBSYS_863E103C&REV_F0\3&11583659&2&EF"
"Location Paths","PCIROOT(0)#PCI(1D07)"

PCI Express x1 Bus #112


RealTek Semiconductor PCI-E Card Reader

"Device Name:","RealTek Semiconductor PCI-E Card Reader"
"Original Device Name:","RealTek Semiconductor PCI-E Card Reader"
"Device Class:","Unknown"
"Revision ID:","1"
"PCI Address (Bus:Device:Function) Number:","112:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10EC&DEV_525A&SUBSYS_863E103C&REV_01"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","512 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 1","902FF000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Realtek Semiconductor Corp."
"Driver Description:","Realtek PCIE CardReader"
"Driver Provider:","Realtek Semiconductor Corp."
"Driver Version:","10.0.18362.21317"
"Driver Date:","25-Apr-2019"
"DeviceInstanceId","PCI\VEN_10EC&DEV_525A&SUBSYS_863E103C&REV_01\00000001004CE00000"
"Location Paths","PCIROOT(0)#PCI(1D07)#PCI(0000)"

Intel HM370 PCH (Cannon Lake-H) - LPC Controller/eSPI Controller [B0]

"Device Name:","Intel HM370 PCH (Cannon Lake-H) - LPC Controller/eSPI Controller [B0]"
"Original Device Name:","Intel HM370 PCH (Cannon Lake-H) - LPC Controller/eSPI Controller [B0]"
"Device Class:","PCI-to-ISA Bridge"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:31:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A30D&SUBSYS_863E103C&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) 300 Series Chipset Family LPC Controller (HM370) - A30D"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A30D&SUBSYS_863E103C&REV_10\3&11583659&2&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]

"Device Name:","Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]"
"Device Class:","Multimedia Audio Adapter"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:31:3"
"PCI Latency Timer:","32"
"Hardware ID:","PCI\VEN_8086&DEV_A348&SUBSYS_863E103C&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","7FFFEFC000"
"Memory Base Address 4","7FFFF00000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel(R) Corporation"
