
LENOVO-PC

"Computer Name:","LENOVO-PC"
"Original Device Name:","Intel Lynx Point PCH - PCI Express Root Port 4 [C2]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","D5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:28:3"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C16&SUBSYS_00000000&REV_D5"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTD#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express standard Root Port"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C16&SUBSYS_369C17AA&REV_D5\3&11583659&1&E3"
"Location Paths","PCIROOT(0)#PCI(1C03)"

PCI Express x1 Bus #4


RealTek Semiconductor RTS5229 PCI-E Card Reader

"Device Name:","RealTek Semiconductor RTS5229 PCI-E Card Reader"
"Original Device Name:","RealTek Semiconductor RTS5229 PCI-E Card Reader"
"Device Class:","Unknown"
"Revision ID:","1"
"PCI Address (Bus:Device:Function) Number:","4:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10EC&DEV_5229&SUBSYS_369C17AA&REV_01"
"Version:","1.1"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","2.5 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:",">4 us"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","F7AFF000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Realtek Semiconduct Corp."
"Driver Description:","Realtek PCIE CardReader"
"Driver Provider:","Realtek Semiconduct Corp."
"Driver Version:","6.2.9600.29072"
"Driver Date:","18-Oct-2013"
"DeviceInstanceId","PCI\VEN_10EC&DEV_5229&SUBSYS_369C17AA&REV_01\00000001004CE00000"
"Location Paths","PCIROOT(0)#PCI(1C03)#PCI(0000)"

Intel Lynx Point PCH - PCI Express Root Port 5 [C2]

"Device Name:","Intel Lynx Point PCH - PCI Express Root Port 5 [C2]"
"Original Device Name:","Intel Lynx Point PCH - PCI Express Root Port 5 [C2]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","D5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:28:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C18&SUBSYS_00000000&REV_D5"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express standard Root Port"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C18&SUBSYS_369C17AA&REV_D5\3&11583659&1&E4"
"Location Paths","PCIROOT(0)#PCI(1C04)"

PCI Express x1 Bus #5


RealTek Semiconductor RTL8821AE Wireless LAN 802.11ac PCI-E NIC

"Device Name:","RealTek Semiconductor RTL8821AE Wireless LAN 802.11ac PCI-E NIC"
"Original Device Name:","RealTek Semiconductor RTL8821AE Wireless LAN 802.11ac PCI-E NIC"
"Device Class:","Other Network Adapter"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","5:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_10EC&DEV_8821&SUBSYS_A80317AA&REV_00"
"Version:","1.1"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","2.5 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","32 - 64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"I/O Base Address 0","CF00"
"Memory Base Address 2","F79FC000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Realtek Semiconductor Corp."
"Driver Description:","Realtek 8821AE Wireless LAN 802.11ac PCI-E NIC"
"Driver Provider:","Realtek Semiconductor Corp."
"Driver Version:","2012.14.417.2014"
"Driver Date:","30-Apr-2014"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8821&SUBSYS_A80317AA&REV_00\00E04CFFFE872B0100"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)"

Intel Lynx Point PCH - PCI Express Root Port 6 [C2]

"Device Name:","Intel Lynx Point PCH - PCI Express Root Port 6 [C2]"
"Original Device Name:","Intel Lynx Point PCH - PCI Express Root Port 6 [C2]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","D5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:28:5"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C1A&SUBSYS_00000000&REV_D5"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","256 - 512 ns"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTB#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express standard Root Port"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C1A&SUBSYS_369C17AA&REV_D5\3&11583659&1&E5"
"Location Paths","PCIROOT(0)#PCI(1C05)"

PCI Express x1 Bus #6


Renesas Electronics uPD720202 USB 3.0 xHCI Host Controller

"Device Name:","Renesas Electronics uPD720202 USB 3.0 xHCI Host Controller"
"Original Device Name:","Renesas Electronics uPD720202 USB 3.0 xHCI Host Controller"
"Device Class:","USB xHCI Controller"
"Revision ID:","2"
"PCI Address (Bus:Device:Function) Number:","6:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_1912&DEV_0015&SUBSYS_00151912&REV_02"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s and L1 Entry"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:",">64 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","F7800000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"USB Version Supported:","3.0"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17393"
"Driver Date:","06-Oct-2014"
"DeviceInstanceId","PCI\VEN_1912&DEV_0015&SUBSYS_00151912&REV_02\4&2C3FA112&0&00E5"
"Location Paths","PCIROOT(0)#PCI(1C05)#PCI(0000)"

USB Root Hub


[Port1] : USB Composite Device

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","3.00"
"USB Device Speed:","USB 3.0 SuperSpeed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_8086&PID_0A66"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_8086&PID_0A66\036140023910"
"Location Paths","PCIROOT(0)#PCI(1C05)#PCI(0000)#USBROOT(0)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #1 [C2]

"Device Name:","Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #1 [C2]"
"Original Device Name:","Intel Lynx Point PCH - USB 2.0 EHCI Host Controller #1 [C2]"
"Device Class:","USB EHCI Controller"
"Revision ID:","5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:29:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C26&SUBSYS_369C17AA&REV_05"
"Interrupt Line:","IRQ23"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","F7C1A000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"USB Version Supported:","2.0"
"Driver Manufacturer:","Intel"
"Driver Description:","Intel(R) 8 Series/C220 Series USB EHCI #1 - 8C26"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C26&SUBSYS_369C17AA&REV_05\3&11583659&1&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

USB Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Device Manufacturer:","Intel"
"Product Name:","Intel Integrated Rate Matching Hub"
"Serial Number:",""
"USB Version Supported:","2.00"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","Generic USB Hub"
"Hardware ID:","USB\VID_8087&PID_8000"
"Driver Manufacturer:","(Generic USB Hub)"
"Driver Description:","Generic USB Hub"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_8000\5&4143347&0&1"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port2] : No Device Connected


Intel H81 Express Chipset - LPC Interface Controller [C2]

"Device Name:","Intel H81 Express Chipset - LPC Interface Controller [C2]"
"Original Device Name:","Intel H81 Express Chipset - LPC Interface Controller [C2]"
"Device Class:","PCI-to-ISA Bridge"
"Revision ID:","5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:31:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C5C&SUBSYS_369C17AA&REV_05"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI standard ISA bridge"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C5C&SUBSYS_369C17AA&REV_05\3&11583659&1&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Lynx Point PCH - SATA AHCI Controller (Ports 0-5) [C2]

"Device Name:","Intel Lynx Point PCH - SATA AHCI Controller (Ports 0-5) [C2]"
"Original Device Name:","Intel Lynx Point PCH - SATA AHCI Controller (Ports 0-5) [C2]"
"Device Class:","SATA AHCI Controller"
"Revision ID:","5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:31:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C02&SUBSYS_369C17AA&REV_05"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTB#"
"I/O Base Address 0","F0B0"
"I/O Base Address 1","F0A0"
"I/O Base Address 2","F090"
"I/O Base Address 3","F080"
"I/O Base Address 4","F060"
"Memory Base Address 5","F7C19000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Capable"
"Fast Back-to-Back Transactions:","Capable"
"Interface Speed Supported:","Gen3 6.0 Gbps"
"Number Of Ports:","4"
"External SATA Support:","Not Capable"
"Aggressive Link Power Management:","Capable"
"Staggered Spin-up:","Not Capable"
"Mechanical Presence Switch:","Not Capable"
"Command Queue Acceleration:","Capable"
"64-bit Addressing:","Capable"
"AHCI Status:","Enabled"
"AHCI Version:","1.30"
"Ports Implemented:","0, 4"
"Port Status:","Device Present, Phy communication established"
"Current Interface Speed:","Gen3 6.0 Gbps"
"External SATA Port:","Not Capable"
"Hot Plug:","Not Capable"
"Device Type:","SATA"
"Port Status:","Device Present, Phy communication not established"
"Current Interface Speed:","Gen1 1.5 Gbps"
"External SATA Port:","Not Capable"
"Hot Plug:","Not Capable"
"Device Type:","ATAPI"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) 8 Series/C220 Chipset Family SATA AHCI Controller"
"Driver Provider:","Intel Corporation"
"Driver Version:","12.8.0.1016"
"Driver Date:","01-Aug-2013"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C02&SUBSYS_369C17AA&REV_05\3&11583659&1&FA"
"Location Paths","PCIROOT(0)#PCI(1F02)"

Intel Lynx Point PCH - SMBus Controller [C2]

"Device Name:","Intel Lynx Point PCH - SMBus Controller [C2]"
"Original Device Name:","Intel Lynx Point PCH - SMBus Controller [C2]"
"Device Class:","SMBus (System Management Bus)"
"Revision ID:","5 [C2]"
"PCI Address (Bus:Device:Function) Number:","0:31:3"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_8C22&SUBSYS_369C17AA&REV_05"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTD#"
"Memory Base Address 0","F7C18000"
"I/O Base Address 4","F040"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","SMBus Controller Device"
"Driver Provider:","Broadcom"
"Driver Version:","1.1.0.3630"
"Driver Date:","22-Mar-2014"
"DeviceInstanceId","PCI\VEN_8086&DEV_8C22&SUBSYS_369C17AA&REV_05\3&11583659&1&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Video Adapter


Intel HD Graphics 4600

"Video Chipset:","Intel HD Graphics 4600"
"Video Chipset Codename:","Haswell GT2"
"Video Memory:","2080 MBytes"
"Video Card:","Intel Haswell-DT GT2 - Integrated Graphics Controller [Lenovo]"
"Video Bus:","Integrated"
"Video RAMDAC:","Internal"
"Video BIOS Version:","Unknown"
"Processor Clock:","598.7 MHz"
"Memory Clock:","798.0 MHz"
"Hardware ID:","PCI\VEN_8086&DEV_0412&SUBSYS_369C17AA&REV_06"
"PCI Location (Bus:Dev:Fnc):","0:02:0"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) HD Graphics 4600"
"Driver Provider:","Intel Corporation"
"Driver Version:","10.18.10.3496"
"Driver Date:","11-Mar-2014"
"DCH/UWD Driver:","Not Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_0412&SUBSYS_369C17AA&REV_06\3&11583659&1&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

NVIDIA GeForce GT 840M

"Video Chipset:","NVIDIA GeForce GT 840M"
"Video Chipset Codename:","GM108M"
"Video Memory:","Unknown"
"Video Card:","NVIDIA GeForce 840A [Lenovo]"
"Video Bus:","PCIe v2.0 x4 (5.0 GT/s) @ x4 (2.5 GT/s)"
"Video BIOS Version:","Unknown"
"NVIDIA SLI Status:","Not Present"
"Hardware ID:","PCI\VEN_10DE&DEV_1341&SUBSYS_369C17AA&REV_A2"
"PCI Location (Bus:Dev:Fnc):","1:00:0"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce 840A  "
"Driver Provider:","NVIDIA"
"Driver Version:","9.18.13.3292 (GeForce 332.92)"
"Driver Date:","27-Mar-2014"
"DCH/UWD Driver:","Not Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1341&SUBSYS_369C17AA&REV_A2\4&64C6AD1&0&0008"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0000)"

Monitor


Lenovo LBG AIO PC

"Monitor Name:","Lenovo LBG AIO PC"
"Monitor Name (Manuf):","LBG AIO PC   "
"Serial Number:","1"
"Date Of Manufacture:","Week: 21, Year: 2014"
"Monitor Hardware ID:","Monitor\LEN8000"
"Max. Vertical Size:","29 cm"
"Max. Horizontal Size:","52 cm"
"Horizontal Frequency:","30 - 90 kHz"
"Vertical Frequency:","57 - 62 Hz"
"Maximum Pixel Clock:","200 MHz"
"Input Signal:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","Not Supported"
"Suspend:","Not Supported"
"Active Off:","Not Supported"
"Standard Colour Space (sRGB) Default:","Not Supported"
"Preferred Timing Mode:","Supported"
"Default GTF (Continuous Frequency):","Supported"
"DFP 1.x Compatible:","Yes"
"1024 x 768","60 Hz"
"1280 x 1024","60 Hz"
"1440 x 900","60 Hz"
"1600 x 900","60 Hz"
"1920 x 1080","521 x 293 mm, Pixel Clock 148.50 MHz"

Drives


(S)ATA/ATAPI Drives


ST1000DM003-1CH162

"Drive Controller:","Serial ATA 6Gb/s @ 6Gb/s"
"Host Controller:","Intel Lynx Point PCH - SATA AHCI Controller (Ports 0-5) [C2]"
"Drive Model:","Seagate ST1000DM003-1CH162"
"Drive Firmware Revision:","CC57"
"Drive Serial Number:","W1D4VZ5L"
"World Wide Name:","5000C5007C9E2959"
"Drive Capacity:","953,869 MBytes (1000 GB)"
"Drive Capacity [MB]:","953869"
"Media Rotation Rate:","7200 RPM"
"Nominal Form Factor:","3.5"""
"ATA Major Version Supported:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2"
"ATA Minor Version Supported:","ACS-3 Revision 3b"
"ATA Transport Version Supported:","SATA 3.1"
"Number of Cylinders:","16383"
"Number of Heads:","16"
"Sectors Per Track:","63"
"Number Of ECC Bytes:","4"
"Number of Sectors:","16514064"
"Total 32-bit LBA Sectors:","268435455"
"Total 48-bit LBA Sectors:","1953525168"
"Logical Sector Size:","512 Bytes"
"Cache Buffer Size:","N/A"
"Sectors Per Interrupt:","Total: 16, Active: 16"
"Max. PIO Transfer Mode:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 5 (ATA-100), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Supported, Max. Depth: 32"
"TRIM Command:","Not Supported"
"Fixed Drive:","Present"
"Removable Drive:","Not Present"
"Magnetic Storage:","Present"
"LBA Mode:","Supported"
"DMA Mode:","Supported"
"IORDY:","Supported"
"IORDY Disableable:","Supported"
"Write Cache:","Present, Active"
"S.M.A.R.T. Feature:","Present, Active"
"Security Feature:","Present, Inactive"
"Removable Media Feature:","Not Present, Disabled"
"Power Management:","Present, Active"
"Advanced Power Management:","Not Present, Inactive"
"Packet Interface:","Not Present, Disabled"
"Look-Ahead Buffer:","Present, Active"
"Host Protected Area:","Present, Enabled"
"Power-Up In Standby:","Supported, Inactive"
"Automatic Acoustic Management:","Not Suppported, Inactive"
"48-bit LBA:","Supported, Active"
"Host-Initiated Link Power Management:","Not Supported"
"Device-Initiated Link Power Management:","Not Supported"
"In-Order Data Delivery:","Not Supported"
"Hardware Feature Control:","Not Supported"
"Software Settings Preservation:","Supported, Enabled"
"NCQ Autosense:","Not Supported"
"Link Power State Device Sleep:","Not Supported"
"Hybrid Information Feature:","Not Supported"
"Rebuild Assist:","Not Supported"
"Power Disable:","Not Supported"
"All Write Cache Non-Volatile:","Not Supported"
"Extended Number of User Addressable Sectors:","Not Supported"
"CFast Specification:","Not Supported"
"NCQ Priority Information:","Not Supported"
"Host Automatic Partial to Slumber Transitions:","Not Supported"
"Device Automatic Partial to Slumber Transitions:","Not Supported"
"NCQ Streaming:","Not Supported"
"NCQ Queue Management Command:","Not Supported"
"DevSleep to Reduced Power State:","Not Supported"
"Extended Power Conditions Feature:","Not Supported"
"Sense Data Reporting Feature:","Not Supported"
"Free-Fall Control Feature:","Not Supported"
"Write-Read-Verify Feature:","Supported, Disabled"
"Security Feature:","Supported"
"Security Status:","Disabled"
"Security Locked:","Disabled"
"Security Frozen:","Enabled"
"Enhanced Security Erase:","Supported"
"Sanitize Feature:","Not Supported"
"Sanitize Device - Crypto Scramble:","Not Supported"
"Sanitize Device - Overwrite:","Not Supported"
"Sanitize Device - Block Erase:","Not Supported"
"Sanitize Device - Antifreeze Lock:","Not Supported"
"Device Encrypts All User Data:","Not Supported"
"Trusted Computing:","Not Supported"
"[01] Raw Read Error Rate:","117/6, Worst: 99 (Data = 123811632,0)"
"[03] Spin Up Time:","97/Always OK, Worst: 97"
"[04] Start/Stop Count:","100/20, Worst: 100 (Data = 90,0)"
"[05] Reallocated Sector Count:","100/10, Worst: 100"
"[07] Seek Error Rate:","67/30, Worst: 60 (Data = 5925654,0)"
"[09] Power-On Hours/Cycle Count:","100/Always OK, Worst: 100 (256 hours / 10.7 days)"
"[0A] Spin Retry Count:","100/97, Worst: 100"
"[0C] Power Cycle Count:","100/20, Worst: 100 (Data = 91,0)"
"[B7] SATA Interface Downshift / Runtime Bad Block:","100/Always OK, Worst: 100"
"[B8] End to End Error Detection Count:","100/99, Worst: 100"
"[BB] Reported Uncorrectable Errors:","100/Always OK, Worst: 100"
"[BC] Command Timeout Count:","100/Always OK, Worst: 100"
"[BD] High Fly Writes","100/Always OK, Worst: 100"
"[BE] Airflow Temperature / Exceed Count:","80/45, Worst: 48 (20.0 °C)"
"[BF] G-Sense Error Rate:","100/Always OK, Worst: 100"
"[C0] Power-Off Retract Count:","100/Always OK, Worst: 100 (Data = 20,0)"
"[C1] Load/Unload Cycle Count:","100/Always OK, Worst: 100 (Data = 90,0)"
"[C2] Temperature","20/Always OK, Worst: 52 (20.0 °C)"
"[C5] Current Pending Sector Count:","100/Always OK, Worst: 100"
"[C6] Off-Line Uncorrectable Sector Count:","100/Always OK, Worst: 100"
"[C7] UltraDMA/SATA CRC Error Rate:","200/Always OK, Worst: 200"
"[F0] Head Flying Hours:","100/Always OK, Worst: 253 (Data = 261,27100)"
"[F1] Lifetime Writes from Host (LBAs Written):","100/Always OK, Worst: 253 (Data = 1149085190,0)"
"[F2] Lifetime Reads from Host (LBAs Read):","100/Always OK, Worst: 253 (Data = 1420845593,0)"

MATSHITA DVD-RAM UJ8FB

"Drive Model:","MATSHITA DVD-RAM UJ8FB"
"Drive Firmware Revision:","C801"
"Drive Serial Number:","8SSDX0E66031P1CC4A20"
"Firmware Date:","2000-00-00 00:00:00"
"Serial Number:","8SSDX0E66031"
"Drive Type:","DVD+R DL"
"Drive Controller:","Serial ATA 1.5Gb/s @ 1.5Gb/s"
"Host Controller:","Intel Lynx Point PCH - SATA AHCI Controller (Ports 0-5) [C2]"
"Max. PIO Transfer Mode:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 5 (ATA-100), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Fixed Drive:","Present"
"Removable Drive:","Present"
"Magnetic Storage:","Not Present"
"LBA Mode:","Supported"
"DMA Mode:","Supported"
"IORDY:","Supported"
"IORDY Disableable:","Supported"
"Drive can read:","CD-R, CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"
"Drive can write:","CD-RW, DVD-R, DVD-RW, DVD+R, DVD+RW, DVD+R DL"

SanDisk SD9SN8W2T00

"Drive Controller:","Serial ATA 6Gb/s @ 6Gb/s <-> USB"
"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Drive Model:","SanDisk SD9SN8W2T00"
"Drive Firmware Revision:","X61110RL"
"Drive Serial Number:","19271C455611"
"World Wide Name:","5001B444A8E2ED3C"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"Media Rotation Rate:","SSD Drive (Non-rotating)"
"Nominal Form Factor:","M.2"
"ATA Major Version Supported:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3, ACS-4"
"ATA Minor Version Supported:","ACS-4 Revision 5"
"ATA Transport Version Supported:","SATA 3.3"
"Number of Cylinders:","16383"
"Number of Heads:","16"
"Sectors Per Track:","63"
"Number of Sectors:","16514064"
"Total 32-bit LBA Sectors:","268435455"
"Total 48-bit LBA Sectors:","3907029168"
"Logical Sector Size:","512 Bytes"
"Cache Buffer Size:","N/A"
