
DESKTOP-71E3E3M

"Computer Name:","DESKTOP-71E3E3M"
"Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Original Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","2"
"PCI Address (Bus:Device:Function) Number:","2:2:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15D3&SUBSYS_00000000&REV_02"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s Entry"
"L0s Exit Latency:","1 - 2 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.802"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15D3&SUBSYS_00000000&REV_02\6E6AC449B2B7D00010"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#PCI(0200)"

PCI Express x4 Bus #55


Intel DSL6540 (Alpine Ridge 4C) Thunderbolt USB 3.1 Embedded Endpoint [C]

"Device Name:","Intel DSL6540 (Alpine Ridge 4C) Thunderbolt USB 3.1 Embedded Endpoint [C]"
"Original Device Name:","Intel DSL6540 (Alpine Ridge 4C) Thunderbolt USB 3.1 Embedded Endpoint [C]"
"Device Class:","USB xHCI Controller"
"Revision ID:","2"
"PCI Address (Bus:Device:Function) Number:","55:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15D4&SUBSYS_00000000&REV_02"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","L0s Entry"
"L0s Exit Latency:","1 - 2 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","6DFF0000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"USB Version Supported:","3.0"
"Driver Manufacturer:","Generic USB xHCI Host Controller"
"Driver Description:","USB xHCI Compliant Host Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.592"
"Driver Date:","15-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_15D4&SUBSYS_00000000&REV_02\6E6AC449B2B7D00000"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#PCI(0200)#PCI(0000)"

USB Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.1 SuperSpeedPlus"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#PCI(0200)#PCI(0000)#USBROOT(0)#USB(4)"

Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]

"Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Original Device Name:","Intel JHL6540 (Alpine Ridge 4C) Thunderbolt 3 Bridge [C]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","2"
"PCI Address (Bus:Device:Function) Number:","2:4:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_15D3&SUBSYS_0000002F&REV_02"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","2.5 GT/s"
"Device/Port Type:","Downstream Port of PCI Express Switch"
"Slot Implemented:","Yes"
"Hot-Plug:","Capable"
"Hot-Plug Surprise:","Capable"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L0s and L1"
"Active State Power Management (ASPM) Status:","Disabled"
"L0s Exit Latency:","1 - 2 us"
"L1 Exit Latency:","2 - 4 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","PCI Express Downstream Switch Port"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.802"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_8086&DEV_15D3&SUBSYS_00000000&REV_02\6E6AC449B2B7D00020"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#PCI(0400)"

PCI Express x4 Bus #56


Intel Skylake-U/Y PCH - PCI Express Root Port #5 [A1/C1]

"Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #5 [A1/C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #5 [A1/C1]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F1 [A1/C1]"
"PCI Address (Bus:Device:Function) Number:","0:28:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D14&SUBSYS_00000000&REV_F1"
"Version:","3.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","10.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O PCI Express Root Port #5 - 9D14"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D14&SUBSYS_385B17AA&REV_F1\3&11583659&1&E4"
"Location Paths","PCIROOT(0)#PCI(1C04)"

PCI Express x1 Bus #107


Intel 9260NGW Wireless-AC Wireless Network Adapter

"Device Name:","Intel 9260NGW Wireless-AC Wireless Network Adapter"
"Original Device Name:","Intel 9260NGW Wireless-AC Wireless Network Adapter"
"Device Class:","Other Network Adapter"
"Revision ID:","29"
"PCI Address (Bus:Device:Function) Number:","107:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_2526&SUBSYS_00148086&REV_29"
"Version:","2.0"
"Maximum Link Width:","1x"
"Current Link Width:","1x"
"Maximum Link Speed:","5.0 GT/s"
"Current Link Speed:","5.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","2 - 4 us"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","128 bytes"
"Maximum Payload Size:","128 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","6E200000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless-AC 9260 160MHz"
"Driver Provider:","Intel"
"Driver Version:","20.100.0.100"
"Driver Date:","11-Nov-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_2526&SUBSYS_00148086&REV_29\4&11C95301&0&00E4"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)"

Intel Skylake-U/Y PCH - PCI Express Root Port #9 [A1/C1]

"Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #9 [A1/C1]"
"Original Device Name:","Intel Skylake-U/Y PCH - PCI Express Root Port #9 [A1/C1]"
"Device Class:","PCI-to-PCI Bridge"
"Revision ID:","F1 [A1/C1]"
"PCI Address (Bus:Device:Function) Number:","0:29:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D18&SUBSYS_00000000&REV_F1"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","Root Port of PCI Express Root Complex"
"Slot Implemented:","Yes"
"Hot-Plug:","Not Capable"
"Hot-Plug Surprise:","Not Capable"
"Slot Power Limit:","25.000 W"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","512 ns - 1 us"
"L1 Exit Latency:","8 - 16 us"
"Maximum Payload Size Supported:","256 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O PCI Express Root Port #9 - 9D18"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D18&SUBSYS_384B17AA&REV_F1\3&11583659&1&E8"
"Location Paths","PCIROOT(0)#PCI(1D00)"

PCI Express x4 Bus #108


Sandisk NVMe Controller

"Device Name:","Sandisk NVMe Controller"
"Original Device Name:","Sandisk NVMe Controller"
"Device Class:","NVMe Controller"
"Revision ID:","0"
"PCI Address (Bus:Device:Function) Number:","108:0:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_15B7&DEV_5002&SUBSYS_500215B7&REV_00"
"Version:","3.0"
"Maximum Link Width:","4x"
"Current Link Width:","4x"
"Maximum Link Speed:","8.0 GT/s"
"Current Link Speed:","8.0 GT/s"
"Device/Port Type:","PCI Express Endpoint"
"Slot Implemented:","No"
"Emergency Power Reduction:","Not Supported"
"Active State Power Management (ASPM) Support:","L1"
"Active State Power Management (ASPM) Status:","L1 Entry"
"L0s Exit Latency:","128 - 256 ns"
"L1 Exit Latency:","4 - 8 us"
"Maximum Payload Size Supported:","512 bytes"
"Maximum Payload Size:","256 bytes"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","6E100000"
"Memory Base Address 4","6E104000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Standard NVM Express Controller"
"Driver Description:","Standard NVM Express Controller"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.771"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","PCI\VEN_15B7&DEV_5002&SUBSYS_500215B7&REV_00\4&24C8DCA4&0&00E8"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

Intel Kaby Lake-U + iHDCP 2.2 Premium PCH - LPC/eSPI Controller [C1]

"Device Name:","Intel Kaby Lake-U + iHDCP 2.2 Premium PCH - LPC/eSPI Controller [C1]"
"Original Device Name:","Intel Kaby Lake-U + iHDCP 2.2 Premium PCH - LPC/eSPI Controller [C1]"
"Device Class:","PCI-to-ISA Bridge"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:31:0"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D4E&SUBSYS_381617AA&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile 7th/8th Generation Intel(R) Processor Family I/O LPC Controller (U with iHDCP2.2 Premium) - 9D4E"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D4E&SUBSYS_381617AA&REV_21\3&11583659&1&F8"
"Location Paths","PCIROOT(0)#PCI(1F00)"

Intel Skylake/Kaby Lake-U/Y/ PCH - Power Management Controller [C1]

"Device Name:","Intel Skylake/Kaby Lake-U/Y/ PCH - Power Management Controller [C1]"
"Original Device Name:","Intel Skylake/Kaby Lake-U/Y/ PCH - Power Management Controller [C1]"
"Device Class:","Other Memory"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:31:2"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D21&SUBSYS_386C17AA&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","6E310000"
"Bus Mastering:","Enabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O PMC - 9D21"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D21&SUBSYS_386C17AA&REV_21\3&11583659&1&FA"
"Location Paths","PCIROOT(0)#PCI(1F02)"

Intel Kaby Lake-U/Y PCH - High Definition Audio Controller

"Device Name:","Intel Kaby Lake-U/Y PCH - High Definition Audio Controller"
"Original Device Name:","Intel Kaby Lake-U/Y PCH - High Definition Audio Controller"
"Device Class:","Multimedia Audio Adapter"
"Revision ID:","21"
"PCI Address (Bus:Device:Function) Number:","0:31:3"
"PCI Latency Timer:","32"
"Hardware ID:","PCI\VEN_8086&DEV_9D71&SUBSYS_383117AA&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","2FFB018000"
"Memory Base Address 4","2FFB000000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","Intel(R) Corporation"
"Driver Description:","Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller"
"Driver Provider:","Intel(R) Corporation"
"Driver Version:","9.21.0.3690"
"Driver Date:","05-Jul-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D71&SUBSYS_383117AA&REV_21\3&11583659&1&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Skylake/Kaby Lake-U/Y PCH - SMBus Host Controller [C1]

"Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - SMBus Host Controller [C1]"
"Original Device Name:","Intel Skylake/Kaby Lake-U/Y PCH - SMBus Host Controller [C1]"
"Device Class:","SMBus (System Management Bus)"
"Revision ID:","21 [C1]"
"PCI Address (Bus:Device:Function) Number:","0:31:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_9D23&SUBSYS_386717AA&REV_21"
"Interrupt Line:","N/A"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","2FFB01C000"
"I/O Base Address 4","3040"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Mobile Intel(R) Processor Family I/O SMBUS - 9D23"
"Driver Provider:","INTEL"
"Driver Version:","10.1.5.1"
"DeviceInstanceId","PCI\VEN_8086&DEV_9D23&SUBSYS_386717AA&REV_21\3&11583659&1&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Video Adapter


Intel UHD Graphics 620

"Video Chipset:","Intel UHD Graphics 620"
"Video Chipset Codename:","Kaby Lake R U GT2"
"Video Memory:","1024 MBytes"
"Video Card:","Intel UHD Graphics 620 (Kaby Lake R U GT2) - Integrated Graphics Controller [Y0] [Lenovo]"
"Video Bus:","Integrated"
"Video RAMDAC:","Internal"
"Video BIOS Version:","Unknown"
"Video Unit Clock:","400.0 MHz"
"Memory Clock:","665.0 MHz"
"Hardware ID:","PCI\VEN_8086&DEV_5917&SUBSYS_380317AA&REV_07"
"PCI Location (Bus:Dev:Fnc):","0:02:0"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 620"
"Driver Provider:","Intel Corporation"
"Driver Version:","26.20.100.7212"
"Driver Date:","12-Sep-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_5917&SUBSYS_380317AA&REV_07\3&11583659&1&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

Monitor


Lenovo [Unknown Model: LEN8890]

"Monitor Name:","Lenovo [Unknown Model: LEN8890]"
"Monitor Name (Manuf):","AUO          B139HAN03.0  "
"Serial Number:","Unknown"
"Date Of Manufacture:","Week: 0, Year: 2016"
"Monitor Hardware ID:","Monitor\LEN8890"
"Max. Vertical Size:","17 cm"
"Max. Horizontal Size:","31 cm"
"Input Signal:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","Not Supported"
"Suspend:","Not Supported"
"Active Off:","Not Supported"
"Standard Colour Space (sRGB) Default:","Not Supported"
"Preferred Timing Mode:","Supported"
"Default GTF (Continuous Frequency):","Not Supported"
"DFP 1.x Compatible:","Yes"
"1920 x 1080","309 x 174 mm, Pixel Clock 141.00 MHz"

Drives


(S)ATA/ATAPI Drives


WDC PC SN720 SDAPNTW-512G-1101

"Host Controller:","Sandisk NVMe Controller"
"Drive Model:","WDC PC SN720 SDAPNTW-512G-1101"
"Drive Serial Number:","184772801459"
"Drive Firmware Revision:","10130001"
"NVMe Version Supported:","v1.3"
"Drive Capacity:","488,386 MBytes (512 GB)"
"Drive Capacity [MB]:","488386"
"Volatile Write Cache:","Present"
"Compare Command:","Supported"
"Write Uncorrectable Command:","Supported"
"Dataset Management:","Supported"
"Write Zeroes:","Supported"
"Save field set to a non-zero value:","Supported"
"Reservations:","Not Supported"
"Timestamp:","Not Supported"
"Autonomous Power State Transitions:","Supported"
"Available Space Below Threshold:","OK"
"Temperature Exceeded Critical Threshold:","OK"
"Device Reliablity Degraded:","OK"
"Media In Read Only Mode:","OK"
"Volatile Memory Backup Device Failed:","OK"
"Drive Temperature:","45 °C"
"Warning Temperature Threshold:","80 °C"
"Critical Temperature Threshold:","85 °C"
"Time Above Warning Temperature Threshold:","0 minutes"
"Time Above Critical Temperature Threshold:","0 minutes"
"Spare Capacity Available:","100%"
"Device Health:","100%"
"Power Cycles:","27"
"Power On Hours:","6 hours"
"Unsafe Shutdowns:","10"
"Media Errors:","0"
"Total Host Reads:","309 GBytes"
"Total Host Writes:","408 GBytes"

SanDisk SD9SN8W2T00

"Drive Controller:","Serial ATA 6Gb/s @ 6Gb/s <-> USB"
"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Drive Model:","SanDisk SD9SN8W2T00"
"Drive Firmware Revision:","X61110RL"
"Drive Serial Number:","19271C455611"
"World Wide Name:","5001B444A8E2ED3C"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"Media Rotation Rate:","SSD Drive (Non-rotating)"
"Nominal Form Factor:","M.2"
"ATA Major Version Supported:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3, ACS-4"
"ATA Minor Version Supported:","ACS-4 Revision 5"
"ATA Transport Version Supported:","SATA 3.3"
"Number of Cylinders:","16383"
"Number of Heads:","16"
"Sectors Per Track:","63"
"Number of Sectors:","16514064"
"Total 32-bit LBA Sectors:","268435455"
"Total 48-bit LBA Sectors:","3907029168"
"Logical Sector Size:","512 Bytes"
"Cache Buffer Size:","N/A"
"Sectors Per Interrupt:","Total: 1, Active: 1"
"Max. PIO Transfer Mode:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Supported, Max. Depth: 32"
"TRIM Command:","Supported (Deterministic Read After TRIM, Words = 0)"
"Fixed Drive:","Present"
"Removable Drive:","Not Present"
"Magnetic Storage:","Present"
"LBA Mode:","Supported"
"DMA Mode:","Supported"
"IORDY:","Supported"
"IORDY Disableable:","Supported"
"Write Cache:","Present, Active"
"S.M.A.R.T. Feature:","Present, Active"
"Security Feature:","Present, Inactive"
"Removable Media Feature:","Not Present, Disabled"
"Power Management:","Present, Active"
"Advanced Power Management:","Present, Active"
"Packet Interface:","Not Present, Disabled"
"Look-Ahead Buffer:","Present, Active"
"Host Protected Area:","Not Present, Disabled"
"Power-Up In Standby:","Not Suppported, Inactive"
"Automatic Acoustic Management:","Not Suppported, Inactive"
"48-bit LBA:","Supported, Active"
"Host-Initiated Link Power Management:","Not Supported"
"Device-Initiated Link Power Management:","Supported, Disabled"
"In-Order Data Delivery:","Not Supported"
"Hardware Feature Control:","Supported, Disabled"
"Software Settings Preservation:","Supported, Disabled"
"NCQ Autosense:","Not Supported"
"Link Power State Device Sleep:","Supported, Enabled"
"Hybrid Information Feature:","Not Supported"
"Rebuild Assist:","Not Supported"
"Power Disable:","Not Supported"
"All Write Cache Non-Volatile:","Not Supported"
"Extended Number of User Addressable Sectors:","Not Supported"
"CFast Specification:","Not Supported"
"NCQ Priority Information:","Not Supported"
"Host Automatic Partial to Slumber Transitions:","Not Supported"
"Device Automatic Partial to Slumber Transitions:","Not Supported"
"NCQ Streaming:","Not Supported"
"NCQ Queue Management Command:","Not Supported"
"DevSleep to Reduced Power State:","Not Supported"
"Extended Power Conditions Feature:","Not Supported"
"Sense Data Reporting Feature:","Not Supported"
"Free-Fall Control Feature:","Not Supported"
"Write-Read-Verify Feature:","Not Supported"
"Security Feature:","Supported"
"Security Status:","Disabled"
"Security Locked:","Disabled"
"Security Frozen:","Disabled"
"Enhanced Security Erase:","Supported"
"Sanitize Feature:","Supported"
"Sanitize Device - Crypto Scramble:","Not Supported"
"Sanitize Device - Overwrite:","Not Supported"
"Sanitize Device - Block Erase:","Supported"
"Sanitize Device - Antifreeze Lock:","Not Supported"
"Device Encrypts All User Data:","Not Supported"
"Trusted Computing:","Not Supported"
"[05] Reallocated Sector Count:","100/Always OK, Worst: 100"
"[09] Power-On Hours/Cycle Count:","100/Always OK, Worst: 100 (250 hours / 10.4 days)"
"[0C] Power Cycle Count:","100/Always OK, Worst: 100 (Data = 498,0)"
"[A5] Initial Bad Block Count:","100/Always OK, Worst: 100 (Data = 983048,0)"
"[A6] Min W/E Cycle:","100/Always OK, Worst: 100"
"[A7] Max Bad Block per Die:","100/Always OK, Worst: 100 (Data = 62,0)"
"[A8] Max Erase Cycle:","100/Always OK, Worst: 100 (Data = 1,0)"
"[A9] Total Bad Block Count:","100/Always OK, Worst: 100 (Data = 1446,0)"
"[AA] Available Reserved Space/Block Count:","100/Always OK, Worst: 100"
"[AB] Program Fail Count (Total):","100/Always OK, Worst: 100"
"[AC] Erase Fail Count (Total):","100/Always OK, Worst: 100"
"[AD] Average Erase Cycle:","100/Always OK, Worst: 100"
"[AE] Unexpected Power Loss Count:","100/Always OK, Worst: 100 (Data = 305,0)"
"[B8] End-to-End Data Errors Corrected","100/Always OK, Worst: 100"
"[BB] Uncorrectable Error Count:","100/Always OK, Worst: 100"
"[BC] Command Timeout Count:","100/Always OK, Worst: 100"
"[C2] Temperature","76/Always OK, Worst: 54 (24.0 °C)"
"[C7] SATA CRC Error Count:","100/Always OK, Worst: 100"
"[E6] Percentage Total P/E Count:","100/Always OK, Worst: 100 (Data = 1,1)"
"[E8] Spare Block Remaining:","100/4, Worst: 100 (Data = 100,0)"
"[E9] Total GB Written To NAND:","100/Always OK, Worst: 100 (Data = 352,0)"
"[EA] Unknown","100/Always OK, Worst: 100 (Data = 415,0)"
"[F1] Total Host Writes:","253/Always OK, Worst: 253 (Data = 397,0)"
"[F2] Total Host Reads:","253/Always OK, Worst: 253 (Data = 566,0)"
"[F4] ECC Cumulative Threshold Events:","0/Always OK, Worst: 100"
"Drive Remaining Life","100%"
"Lifetime Power-On Resets:","498"
"Power-on Hours:","0"
"Logical Sectors Written:","834469137"
"Logical Sectors Read:","1187840711"
"Number of Write Commands:","12440827"
"Number of Read Commands:","26754832"
"Used Endurance Indicator:","0%"

SanDisk SES Device

"Drive Model:","SanDisk SES Device"
"Drive Firmware Revision:","1012"
"Device Type:","Enclosure"

SCSI Devices


SanDisk Extreme SSD

"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Device Description:","SanDisk Extreme SSD"
"Device Firmware Revision:","1012"
"Device Type:","Disk drive"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"SCSI Port Number:","1"
"SCSI Path ID:","0"
"SCSI Target ID:","0"
"SCSI Logical Unit Number:","0"
"SCSI Version:","SCSI-6"
"Removable Device:","Not Capable"
"Tagged Command Queuing:","Supported"
"Linked Commands:","Not Supported"
"Synchronous Data Transfer:","Not Supported"
"Relative Addressing:","Not Supported"
"Asynchronous Event Notification:","Not Supported"
"Self-Test Result:","OK"

Audio


Intel Kaby Lake-U/Y PCH - High Definition Audio Controller

"Audio Adapter:","Intel Kaby Lake-U/Y PCH - High Definition Audio Controller"
"Audio Controller Hardware ID:","PCI\VEN_8086&DEV_9D71&SUBSYS_383117AA&REV_21"
"High Definition Audio Codec:","Unknown 0"
"Audio Codec Hardware ID:","HDAUDIO\FUNC_04&VEN_0000&DEV_0000&SUBSYS_00000000"

Network


Intel 9260NGW Wireless-AC Wireless Network Adapter

"Network Card:","Intel 9260NGW Wireless-AC Wireless Network Adapter"
"Vendor Description:","Microsoft"
"MAC Address:","A8-6D-AA-EF-B5-1E"
"Maximum Link Speed:","1 Mbps"
"Transmit Buffer Size:","9 Bytes"
